Comment,Designator,Footprint,LCSC
"Conn_01x02","5VIN1,24VIN1","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","C475092"
"Conn_01x03","AUX1,AUX2,AUX3","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical","C144394"
"Conn_02x03_Odd_Even","AUX1PWR1,AUX2PWR1,AUX3PWR1","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","C492420"
"10pF","C1,C2","Capacitor_SMD:C_1206_3216Metric","C107172"
"Conn_01x04","FAN1,FAN2,FAN3,FAN4","Connector:FanPinHeader_1x04_P2.54mm_Vertical","C402778"
"Conn_01x03","FAN1PWR1,FAN2PWR1,FAN3PWR1,FAN4PWR1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","C2937625"
"Conn_02x02_Odd_Even","J1,J2,J3","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","C706892"
"Conn_01x06_Male","J4,J5","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"BSS138","Q1,Q2,Q3,Q4","Package_TO_SOT_SMD:SOT-23","C52895"
"wsf3085","Q8,Q9,Q10","Package_TO_SOT_SMD:TO-252-2","C148428"
"10K","R1,R2,R3,R4,R5,R6,R7,R8,R15,R16,R17","Resistor_SMD:R_1206_3216Metric","C144471"
"L7812","U1","L7812CV:TO-220-3","C105651"
"tiny2040","U2","_my_own:rp2040_zero",""
